iteration,method,frechet,std
0,grid,38102.319947464835,8121.454181427338
1,grid,35976.40121440614,11727.675432926853
2,grid,35818.34186653586,12012.545830587465
3,grid,30889.270616052956,10553.165042215887
4,grid,26537.170294008458,10197.7085164656
5,grid,26537.170294008458,10197.7085164656
6,grid,24794.18063995246,9432.399439877783
7,grid,24500.780783180428,9150.983335933717
8,grid,24383.797988936196,9354.51792636859
9,grid,24383.797988936196,9354.51792636859
10,grid,23383.991882524075,10062.609673342606
11,grid,23383.991882524075,10062.609673342606
12,grid,22473.402594969775,11545.726516958808
13,grid,15319.482243942737,7562.4407420834195
14,grid,15319.482243942737,7562.4407420834195
15,grid,11012.570319283144,4326.448331234748
16,grid,11012.570319283144,4326.448331234748
17,grid,10583.555858014419,4405.6984236655
18,grid,10583.555858014419,4405.6984236655
19,grid,10583.555858014419,4405.6984236655
20,grid,10583.555858014419,4405.6984236655
21,grid,10583.555858014419,4405.6984236655
22,grid,10583.555858014419,4405.6984236655
23,grid,10583.555858014419,4405.6984236655
24,grid,10583.555858014419,4405.6984236655
25,grid,10583.555858014419,4405.6984236655
26,grid,10583.555858014419,4405.6984236655
0,random,21098.655161553055,3928.3022508292997
1,random,16123.005359371655,4742.585495452128
2,random,12723.205359371656,3025.991570255346
3,random,12723.205359371656,3025.991570255346
4,random,12723.205359371656,3025.991570255346
5,random,12723.205359371656,3025.991570255346
6,random,12723.205359371656,3025.991570255346
7,random,12723.205359371656,3025.991570255346
8,random,11710.605359371655,3126.844594324427
9,random,11710.605359371655,3126.844594324427
10,random,11710.605359371655,3126.844594324427
11,random,10799.805359371656,3004.1987949680183
12,random,10799.805359371656,3004.1987949680183
13,random,8974.6,530.9062440770498
14,random,8974.6,530.9062440770498
15,random,8974.6,530.9062440770498
16,random,8711.0,514.6703799520621
17,random,8711.0,514.6703799520621
18,random,8585.0,529.3936153751762
19,random,8585.0,529.3936153751762
20,random,8585.0,529.3936153751762
21,random,8585.0,529.3936153751762
22,random,8478.6,395.6996841039932
23,random,8239.4,339.0537420527902
24,random,8239.4,339.0537420527902
25,random,8239.4,339.0537420527902
26,random,8239.4,339.0537420527902
0,bayesian,16703.618091440276,10805.38805667381
1,bayesian,10315.218407856879,2343.649802809837
2,bayesian,10038.207380039566,2453.1435741348673
3,bayesian,9278.094293778968,1882.9450007225826
4,bayesian,9179.512138883125,1883.7960325091863
5,bayesian,9070.713291534574,1908.527333516088
6,bayesian,8676.313291534574,2131.072093370025
7,bayesian,8020.027010561828,1748.2743348395602
8,bayesian,7709.507879003681,1779.1849998187772
9,bayesian,7709.507879003681,1779.1849998187772
10,bayesian,6714.0,1326.6488608520342
11,bayesian,6140.8,802.6220530237131
12,bayesian,6140.8,802.6220530237131
13,bayesian,6140.8,802.6220530237131
14,bayesian,5578.6,1137.6863539658018
15,bayesian,5496.0,1054.9443587222977
16,bayesian,5161.4,967.6634952296175
17,bayesian,5125.0,985.4874935786856
18,bayesian,5120.8,980.4901631327058
19,bayesian,5120.8,980.4901631327058
20,bayesian,5120.8,980.4901631327058
21,bayesian,5099.0,955.3185856037765
22,bayesian,5099.0,955.3185856037765
23,bayesian,5059.6,913.3519803449271
24,bayesian,5059.6,913.3519803449271
25,bayesian,4922.8,759.119068394412
26,bayesian,4916.0,762.1621874640593
