Item,Fixed,Distributor,Quantity,Unit Price,Total,Link,Potential Alternates
Food dye,1,Amazon,1,$4.79 , $4.79 ,https://www.amazon.com/Spice-Supreme-Assorted-Colors-Yellow/dp/B00GNHIBZU,
Sculpting wire,2,Amazon,1, $10.99 , $10.99 ,https://www.amazon.com/gp/product/B0B11VW3NG,2
Plant drip bag (pack of 5),2,Amazon,1,$20.99 , $20.99 ,https://www.amazon.com/HUHKOUAE-Drip-Bag-Plants-Irrigation/dp/B09TNJ75G6,3
Silicone to glass epoxy (1 hr set time),2,Amazon,1,$7.47 , $7.47 ,https://www.amazon.com/J-B-Weld-31310-All-Purpose-Silicone/dp/B00ID8EDKY/?th=1,
4mm water splitter (pack of 10),2,Amazon,1,$7.99 , $7.99 ,https://www.amazon.com/Metalwork-Plastic-Connect-Splitter-Fitting/dp/B07C7JMLDL?th=1,
"Straight union tube fitting, 4mm (pack of 10)",2,Amazon,1,$7.29 , $7.29 ,https://www.amazon.com/Metalwork-Plastic-Straight-Pneumatic-Connector/dp/B07C79R8F2/,
"1/8""-1/4"" OD hose clamp",2,Amazon,1,$7.99 , $7.99 ,https://www.amazon.com/Quickun-Plastic-Tubing-Control-Infusion/dp/B08BTQ3MWH/,
Gikfun 12V DC Dosing Pump Peristaltic Dosing Head,2,Amazon,5,$11.98 , $59.90 ,https://www.amazon.com/dp/B01IUVHB8E,
Extra long male header pins,3,Amazon,1,$8.99 , $8.99 ,https://www.amazon.com/Generic-Breakaway-Headers-Length-Centered/dp/B015KA0RRU/,
Leather hole punch,2,Amazon,1,$7.99 , $7.99 ,https://www.amazon.com/Leather-Plastics-leather-1-5mm-4mm-ASONTAO/dp/B08MF3T4YJ/,
2mm ID/4mm OD PTFE tubing (5 ft),3,Amazon,1,$8.99 , $8.99 ,https://www.amazon.com/PTFE-Teflon-tubing-5ft-Filament/dp/B07B8CK8L9?th=1,
Adafruit AS7341 10-Channel Light / Color Sensor,1,Digikey,1, $15.95 , $15.95 ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4698/13162109,
USB cable - USB A to Micro-B - 3 foot long,1,Digikey,1, $2.58 , $2.58 ,https://www.digikey.com/en/products/detail/stewart-connector/SC-2AMK003F/8544577,
Raspberry Pi Pico W,1,Digikey,1,$6.00 , $6.00 ,https://www.digikey.com/en/products/detail/raspberry-pi/SC0918/16608263,
"20 pin headers (0.1"" pitch)",1,Digikey,2,$0.43 , $0.86 ,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10129378-920001BLF/7915969,
12V DC power supply,1,Digikey,1,$18.91 , $18.91 ,https://www.digikey.com/en/products/detail/xp-power/VEL36US120-US-JA/6220849,
Grove White LED,1,Digikey,1,$2.10 , $2.10 ,"https://www.digikey.com/en/products/detail/seeed-technology-co.,-ltd/104030009/5487953",
Maker Pi Pico Base,2,Digikey,1, $8.40 , $8.40 ,https://www.digikey.com/en/products/detail/cytron-technologies-sdn-bhd/MAKER-PI-PICO-NB/14557835,
Grove to STEMMA QT,2,Digikey,1, $1.95 , $1.95 ,https://www.adafruit.com/product/4528,
Grove Relay + Grove connector,2,Digikey,1,$3.20 , $3.20 ,"https://www.digikey.com/en/products/detail/seeed-technology-co.,-ltd/103020005/5487965",
"Grove connector (5 pack, 5 cm)",2,Digikey,1,$2.10 , $2.10 ,"https://www.digikey.com/en/products/detail/seeed-technology-co.,-ltd/110990036/5482563",
Female 2.1mm jack to open wire (3'),2,Digikey,1,$3.31 , $3.31 ,https://www.digikey.com/en/products/detail/tensility-international-corp/10-01097/3507722,
20-pin jumper cable,3,Digikey,2,$1.95 , $3.90 ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4946/14552174,
Both ends open quartz cuvette,2,ecuvette,1,$27.00 , $27.00 ,https://ecuvettes.com/product/qf87-10mm-flow-through-cell-quartz-2-windows-powder-fused/,
Cuvette lid,2,ecuvette,2,$2.00 , $4.00 ,https://ecuvettes.com/product/qa25-silicone-cuvette-lid-with-center-hole/,
DC Motor Driver Module for Raspberry Pi Pico,3,Waveshare,1,$19.99 , $19.99 ,https://www.waveshare.com/pico-motor-driver.htm,1
,,,,,,,
Total,,,,, $273.63 ,,
,,,,,Shipping Cost,,
Amazon,,,,,TBD,"(with Amazon Prime I think, but maybe still free without)",
Digikey,,,,,TBD,,
eCuvette,,,,,TBD,,
Waveshare,,,,,TBD,,
,,,,,,,
,,,,,Total,,
,,,,, $273.63 ,,
